Date,Symbol,Currency,Qty,Price Per Share,Commission,MER Fees,Action
2020-11-03,NVDA,USD,-76,$365.95,$5.79,$0.00,Sell
2020-11-09,PG,USD,-29,$135.93,$1.76,$0.00,Sell
2020-11-10,AMZN,USD,25,$148.78,$8.53,$0.00,Buy
2020-11-26,JNJ,USD,1,$154.45,$5.53,$0.00,Buy
2020-12-03,PG,USD,25,$140.31,$6.91,$0.00,Buy
2021-01-01,AMZN,USD,10,$144.69,$2.78,$0.00,Buy
2021-01-02,AMZN,USD,2,$141.42,$2.11,$0.00,Buy
2021-01-19,VEA,USD,33,$0.31,$0.00,$0.00,Dividend
2021-01-22,NVDA,USD,1,$433.35,$8.98,$0.00,Buy
2021-01-27,VEA,USD,5,$44.53,$6.36,$0.22,Buy
2021-03-29,VEA,USD,15,$43.12,$0.85,$0.00,Buy
2021-04-01,GOOGL,USD,-5,$109.98,$0.98,$0.00,Sell
2021-04-08,PG,USD,-5,$154.80,$9.77,$0.00,Sell
2021-04-10,XIU.TO,CAD,-7,$33.84,$2.78,$0.00,Sell
2021-04-22,XIU.TO,CAD,-16,$34.81,$5.55,$0.00,Sell
2021-06-09,XIU.TO,CAD,100,$32.78,$4.48,$0.00,Buy
2021-06-20,NVDA,USD,-3,$363.13,$1.11,$0.00,Sell
2021-06-22,NVDA,USD,15,$364.96,$0.38,$0.00,Buy
2021-06-23,BCE.TO,CAD,-53,$59.28,$9.87,$0.00,Sell
2021-07-04,GOOGL,USD,50,$108.41,$6.67,$0.00,Buy
2021-07-27,AMZN,USD,-63,$125.12,$3.69,$0.00,Sell
2021-07-31,NVDA,USD,2,$347.67,$7.42,$0.00,Buy
2021-08-30,NVDA,USD,-5,$341.28,$0.60,$0.00,Sell
2021-09-06,XIU.TO,CAD,25,$27.60,$3.31,$0.00,Buy
2021-09-07,JNJ,USD,-7,$121.37,$5.96,$0.00,Sell
2021-09-12,NVDA,USD,10,$314.17,$7.17,$0.00,Buy
2021-09-17,GOOGL,USD,-91,$150.05,$3.02,$0.00,Sell
2021-09-29,NVDA,USD,1,$337.78,$9.28,$0.00,Buy
2021-10-01,BCE.TO,CAD,25,$77.44,$2.65,$0.00,Buy
2021-10-02,NVDA,USD,25,$325.86,$9.63,$0.00,Buy
2021-10-19,PG,USD,25,$141.31,$4.50,$0.00,Buy
2021-10-20,NVDA,USD,1,$332.08,$3.04,$0.00,Buy
2021-11-04,BCE.TO,CAD,-126,$66.00,$9.68,$0.00,Sell
2021-11-05,GOOGL,USD,15,$152.99,$3.40,$0.00,Buy
2021-11-13,PG,USD,10,$142.67,$4.03,$0.00,Buy
2021-12-11,VEA,USD,-16,$59.14,$1.26,$0.00,Sell
2021-12-19,NVDA,USD,15,$323.20,$9.04,$0.00,Buy
2021-12-21,AMZN,USD,25,$137.70,$1.31,$0.00,Buy
2021-12-28,XIU.TO,CAD,2,$18.57,$1.57,$0.00,Buy
2022-01-02,XIU.TO,CAD,-91,$17.84,$7.79,$0.00,Sell
2022-01-02,BCE.TO,CAD,-156,$70.77,$6.54,$0.00,Sell
2022-01-23,GOOGL,USD,25,$194.76,$4.85,$0.00,Buy
2022-01-27,XIU.TO,CAD,-59,$17.01,$3.49,$0.00,Sell
2022-02-01,XIU.TO,CAD,1,$17.80,$2.45,$0.00,Buy
2022-02-12,XIU.TO,CAD,1,$17.53,$2.29,$0.00,Buy
2022-02-25,JNJ,USD,53,$0.80,$0.00,$0.00,Dividend
2022-03-05,GOOGL,USD,-32,$203.97,$4.48,$0.00,Sell
2022-03-12,GOOGL,USD,25,$194.88,$1.90,$0.00,Buy
2022-03-14,JNJ,USD,15,$115.48,$9.89,$0.00,Buy
2022-03-15,PG,USD,50,$169.10,$2.44,$0.00,Buy
2022-03-20,XIU.TO,CAD,1,$21.55,$5.88,$0.00,Buy
2022-03-21,PG,USD,25,$168.06,$6.06,$0.00,Buy
